nflId,height,weight,birthDate,collegeName,position,displayName,corrected_birthDate,Age
41279,6-3,252,1993-01-17,Georgia Tech,OLB,Jeremiah Attaochu,1993-01-17,31
41282,6-1,215,1992-12-24,Fresno State,WR,Davante Adams,1992-12-24,32
41290,6-2,220,1993-08-24,Penn State,WR,Allen Robinson,1993-08-24,31
41291,6-2,225,1991-11-02,Eastern Illinois,QB,Jimmy Garoppolo,1991-11-02,33
41292,5-11,196,1992-11-28,Louisiana State,WR,Jarvis Landry,1992-11-28,32
41293,6-6,315,1991-05-29,Missouri,C,Justin Britt,1991-05-29,33
41295,6-6,330,1991-03-03,Virginia,T,Morgan Moses,1991-03-03,33
41296,6-5,310,1991-10-17,North Dakota State,T,Billy Turner,1991-10-17,33
41300,6-2,235,1992-08-31,Iowa,OLB,Christian Kirksey,1992-08-31,32
41310,6-3,336,1991-07-12,Mississippi State,G,Gabe Jackson,1991-07-12,33
41321,6-3,315,1993-06-14,Louisiana State,G,Trai Turner,1993-06-14,31
41324,6-6,301,1990-11-15,Michigan,G,Michael Schofield,1990-11-15,34
41325,5-9,205,1992-05-03,Georgia Southern,RB,Jerick McKinnon,1992-05-03,32
41327,6-4,257,1992-01-22,California,TE,Richard Rodgers,1992-01-22,32
41336,6-2,350,1990-12-27,Louisiana Tech,DT,Justin Ellis,1990-12-27,34
41341,6-4,322,1991-12-27,Penn State,DT,DaQuan Jones,1991-12-27,33
41349,6-6,250,1991-07-01,Virginia Tech,TE,Logan Thomas,1991-07-01,33
41358,6-2,200,1991-12-01,North Carolina State,CB,Dontae Johnson,1991-12-01,33
41361,6-0,230,1991-10-07,Boston College,OLB,Kevin Pierre-Louis,1991-10-07,33
41363,6-7,300,1991-05-05,Virginia,DE,Brent Urban,1991-05-05,33
41369,6-6,320,1992-09-03,Stanford,T,Cameron Fleming,1992-09-03,32
41390,6-3,301,1991-07-27,Ohio State,C,Corey Linsley,1991-07-27,33
41403,6-3,256,1991-06-24,Southern California,OLB,Devon Kennard,1991-06-24,33
41464,6-2,290,1991-08-11,Illinois State,DT,Shelby Harris,1991-08-11,33
41475,6-3,305,1991-10-09,Boise State,T,Charles Leno,1991-10-09,33
41483,5-11,190,1992-05-17,Oregon,CB,Terrance Mitchell,1992-05-17,32
41500,5-11,205,1992-10-17,Ball State,WR,Willie Snead,1992-10-17,32
41502,6-2,208,1990-03-05,Brigham Young,FS,Daniel Sorensen,1990-03-05,34
41532,6-5,310,1991-12-17,North Carolina,T,James Hurst,1991-12-17,33
41563,6-8,328,1991-07-18,Kansas State,T,Cornelius Lucas,1991-07-18,33
41595,6-4,332,1991-05-09,Colorado State-Pueblo,NT,Mike Pennel,1991-05-09,33
41599,6-1,232,1991-05-06,South Carolina State,ILB,Joe Thomas,1991-05-06,33
41630,6-3,317,1992-05-31,Central Florida,C,Justin McCray,1992-05-31,32
41665,6-3,310,1991-05-05,Clemson,G,Tyler Shatley,1991-05-05,33
41667,6-6,306,1991-02-14,James Madison,T,Josh Wells,1991-02-14,33
41707,6-4,325,1991-07-08,Utah State,C,Tyler Larsen,1991-07-08,33
41712,5-11,224,1992-04-03,Oklahoma,RB,Damien Williams,1992-04-03,32
41786,6-2,270,1991-05-02,Texas Tech,DE,Kerry Hyder,1991-05-02,33
41808,6-0,240,1992-04-08,San Jose State,FB,Keith Smith,1992-04-08,32
41915,6-2,250,1992-11-17,Colorado State,OLB,Shaquil Barrett,1992-11-17,32
41939,6-6,325,1991-10-25,Ohio State,G,Andrew Norwell,1991-10-25,33
41947,6-3,250,1991-02-18,Florida State,ILB,Christian Jones,1991-02-18,33
41959,6-6,330,1992-07-07,Bloomsburg,G,Matt Feiler,1992-07-07,32
42030,5-9,183,1991-07-12,Pittsburgh,CB,K'Waun Williams,1991-07-12,33
42031,6-5,285,1990-07-15,Mississippi State,DE,Denico Autry,1990-07-15,34
42033,6-5,245,1991-07-03,Harvard,TE,Cameron Brate,1991-07-03,33
42116,5-11,210,1992-03-28,Texas,FS,Adrian Phillips,1992-03-28,32
42302,6-6,255,1992-04-10,Canisius,TE,Chris Manhertz,1992-04-10,32
42331,6-6,265,1992-04-13,No College,DE,Efe Obada,1992-04-13,32
42344,6-4,231,1994-01-06,Florida State,QB,Jameis Winston,1994-01-06,30
42345,6-4,222,1993-10-30,Oregon,QB,Marcus Mariota,1993-10-30,31
42346,6-3,255,1994-08-03,Florida,OLB,Dante Fowler,1994-08-03,30
42347,6-1,211,1994-06-17,Alabama,WR,Amari Cooper,1994-06-17,30
42348,6-5,315,1991-12-26,Iowa,G,Brandon Scherff,1991-12-26,33
42349,6-5,302,1994-06-20,Southern California,DT,Leonard Williams,1994-06-20,30
42350,6-3,216,1992-06-25,West Virginia,WR,Kevin White,1992-06-25,32
42356,6-7,316,1993-11-04,Stanford,G,Andrus Peat,1993-11-04,31
42357,6-3,216,1993-01-20,Louisville,WR,DeVante Parker,1993-01-20,31
42358,6-1,215,1993-04-13,Wisconsin,RB,Melvin Gordon,1993-04-13,31
42360,6-7,292,1993-11-15,Oregon,DT,Arik Armstead,1993-11-15,31
42361,6-0,197,1993-01-09,Washington,CB,Marcus Peters,1993-01-09,31
42362,6-5,313,1992-08-23,Florida State,T,Cameron Erving,1992-08-23,32
42363,6-0,198,1993-05-24,Southern California,WR,Nelson Agholor,1993-05-24,31
42364,6-5,310,1992-04-25,Texas A&amp;M,T,Cedric Ogbuehi,1992-04-25,32
42365,6-4,269,1993-02-12,Kentucky,OLB,Bud Dupree,1993-02-12,31
42367,6-5,307,1993-12-28,Florida,T,D.J. Humphries,1993-12-28,31
42368,6-0,230,1994-04-21,Washington,ILB,Shaq Thompson,1994-04-21,30
42369,6-2,215,1993-09-10,Central Florida,WR,Breshad Perriman,1993-09-10,31
42371,6-3,312,1992-02-09,Duke,G,Laken Tomlinson,1992-02-09,32
42372,5-10,192,1993-01-05,Miami,WR,Phillip Dorsett,1993-01-05,31
42376,6-0,218,1994-01-10,Alabama,SS,Landon Collins,1994-01-10,30
42377,6-6,338,1993-06-23,Penn State,T,Donovan Smith,1993-06-23,31
42378,6-3,280,1994-01-25,Florida State,DE,Mario Edwards,1994-01-25,30
42381,6-5,265,1992-11-17,Mississippi State,OLB,Preston Smith,1992-11-17,32
42388,6-0,232,1992-02-29,UCLA,ILB,Eric Kendricks,1992-02-29,32
42390,6-1,205,1992-10-03,Utah,SS,Eric Rowe,1992-10-03,32
42391,5-11,240,1992-12-05,Miami,ILB,Denzel Perryman,1992-12-05,32
42392,6-6,305,1992-04-21,Missouri,C,Mitch Morse,1992-04-21,32
42393,5-11,193,1994-01-02,Florida State,CB,Ronald Darby,1994-01-02,30
42395,6-6,341,1992-09-21,Oklahoma,DT,Jordan Phillips,1992-09-21,32
42397,5-9,203,1993-06-13,Nebraska,RB,Ameer Abdullah,1993-06-13,31
42398,6-4,252,1994-04-12,Minnesota,TE,Maxx Williams,1994-04-12,30
42400,6-8,328,1992-05-13,Wisconsin,T,Rob Havenstein,1992-05-13,32
42401,6-3,260,1991-03-13,Missouri,OLB,Markus Golden,1991-03-13,33
42403,6-5,255,1992-11-23,Nebraska,OLB,Randy Gregory,1992-11-23,32
42406,6-3,260,1993-06-14,Michigan,OLB,Frank Clark,1993-06-14,31
42410,6-3,325,1991-10-03,South Carolina,G,A.J. Cann,1991-10-03,33
42412,5-10,182,1992-09-28,Kansas State,WR,Tyler Lockett,1992-09-28,32
42416,6-1,210,1993-04-16,Indiana,RB,Tevin Coleman,1993-04-16,31
42419,6-3,205,1992-10-25,Georgia,WR,Chris Conley,1992-10-25,32
42421,6-0,196,1993-06-01,Florida State,CB,P.J. Williams,1993-06-01,31
42427,6-1,236,1992-06-27,Texas,ILB,Jordan Hicks,1992-06-27,32
42428,6-6,250,1992-10-15,Rutgers,TE,Tyler Kroft,1992-10-15,32
42431,6-5,252,1994-10-29,Louisiana State,OLB,Danielle Hunter,1994-10-29,30
42433,6-5,320,1992-03-02,Iowa,NT,Carl Davis,1992-03-02,32
42436,6-6,301,1991-08-03,Stanford,DE,Henry Anderson,1991-08-03,33
42437,6-0,216,1993-01-22,Stanford,WR,Ty Montgomery,1993-01-22,31
42441,5-11,194,1993-01-22,Oregon State,CB,Steven Nelson,1993-01-22,31
42443,6-4,318,1992-11-14,Auburn,DT,Angelo Blackson,1992-11-14,32
42444,6-2,265,1993-08-16,Arkansas,OLB,Trey Flowers,1993-08-16,31
42448,5-9,177,1993-06-17,Duke,WR,Jamison Crowder,1993-06-17,31
42465,6-4,272,1992-09-08,Kentucky,DE,Za'Darius Smith,1992-09-08,32
42467,6-1,227,1994-08-03,Louisiana State,OLB,Kwon Alexander,1994-08-03,30
42469,5-9,221,1993-02-19,South Carolina,RB,Mike Davis,1993-02-19,31
42470,6-0,243,1993-05-28,Minnesota,MLB,Damien Wilson,1993-05-28,31
42471,6-4,323,1992-02-10,Miami,C,Jon Feliciano,1992-02-10,32
42474,6-1,310,1993-08-28,Georgia Tech,G,Shaquille Mason,1993-08-28,31
42476,6-4,309,1991-11-09,Florida,G,Max Garcia,1991-11-09,33
42477,6-4,310,1992-05-03,West Virginia,G,Mark Glowinski,1992-05-03,32
42480,6-0,305,1993-04-28,Clemson,DT,Grady Jarrett,1993-04-28,31
42485,6-0,214,1993-04-29,Penn State,FS,Adrian Amos,1993-04-29,31
42486,6-2,243,1992-03-24,Southern Illinois,TE,MyCole Pruitt,1992-03-24,32
42488,5-11,192,1993-08-18,Memphis,SS,Bobby McCain,1993-08-18,31
42489,6-0,191,1993-11-29,Maryland,WR,Stefon Diggs,1993-11-29,31
42500,6-6,260,1993-01-14,Auburn,TE,C.J. Uzomah,1993-01-14,31
42503,6-7,250,1994-06-04,Penn State,TE,Jesse James,1994-06-04,30
42511,6-0,240,1992-02-01,Rutgers,FB,Michael Burton,1992-02-01,32
42512,6-2,245,1993-08-08,Texas State,MLB,David Mayo,1993-08-08,31
42514,6-4,270,1993-02-17,Delaware,TE,Nick Boyle,1993-02-17,31
42543,5-9,197,1993-01-22,Texas,FS,Quandre Diggs,1993-01-22,31
42547,6-6,255,1992-09-13,Georgia Tech,TE,Darren Waller,1992-09-13,32
42553,6-1,298,03/10/1992,Louisiana-Lafayette,DT,Christian Ringo,1992-05-10,32
42559,6-2,305,1993-10-16,Rice,NT,Christian Covington,1993-10-16,31
42560,6-2,307,1993-07-03,Southern Mississippi,NT,Rakeem Nunez-Roches,1993-07-03,31
42569,6-5,310,1994-08-21,Florida State,T,Bobby Hart,1994-08-21,30
42587,6-8,380,1993-04-13,Florida,T,Trenton Brown,1993-04-13,31
42589,6-4,260,1993-09-16,Texas,TE,Geoff Swaim,1993-09-16,31
42593,6-3,220,1991-12-26,Northwestern,QB,Trevor Siemian,1991-12-26,33
42654,6-4,320,1993-07-26,Louisiana State,T,La'el Collins,1993-07-26,31
42718,5-10,197,1992-04-09,Purdue,RB,Raheem Mostert,1992-04-09,32
42721,6-6,263,1992-04-22,Texas-El Paso,TE,Eric Tomlinson,1992-04-22,32
42771,6-2,234,1993-04-06,Marshall,ILB,Neville Hewitt,1993-04-06,31
42794,5-8,190,1993-04-10,Sacramento State,WR,DeAndre Carter,1993-04-10,31
42816,5-11,184,1991-08-29,Oregon,CB,Troy Hill,1991-08-29,33
42818,6-4,209,1992-02-17,Wisconsin-Whitewater,WR,Jake Kumerow,1992-02-17,32
42826,6-1,292,1992-12-29,Clemson,DE,DeShawn Williams,1992-12-29,32
42827,5-11,190,1993-03-27,Tennessee,CB,Justin Coleman,1993-03-27,31
42831,6-1,210,03/15/1993,Old Dominion,QB,Taylor Heinicke,1993-03-15,31
42837,5-11,222,1993-05-15,Texas,RB,Malcolm Brown,1993-05-15,31
42883,6-3,300,1992-07-10,Georgia,C,David Andrews,1992-07-10,32
42899,5-9,180,1993-01-27,South Carolina,WR,Damiere Byrd,1993-01-27,31
42901,6-1,208,1992-07-25,James Madison,SS,Dean Marlowe,1992-07-25,32
42929,6-2,242,1993-12-07,Montana State,ILB,Alex Singleton,1993-12-07,31
42935,5-9,188,1991-10-23,Rice,CB,Bryce Callahan,1991-10-23,33
42954,6-4,310,1992-04-23,Toledo,C,Greg Mancz,1992-04-23,32
43092,6-0,299,1992-11-23,North Carolina State,DT,T.Y. McGill,1992-11-23,32
43290,6-4,223,1994-10-14,California,QB,Jared Goff,1994-10-14,30
43291,6-5,237,1992-12-30,North Dakota State,QB,Carson Wentz,1992-12-30,32
43292,6-5,280,1995-07-11,Ohio State,DE,Joey Bosa,1995-07-11,29
43293,6-0,228,1995-07-22,Ohio State,RB,Ezekiel Elliott,1995-07-22,29
43294,6-1,208,1994-10-24,Florida State,CB,Jalen Ramsey,1994-10-24,30
43295,6-6,315,1994-03-18,Notre Dame,T,Ronnie Stanley,1994-03-18,30
43296,6-7,300,1994-03-17,Oregon,DT,DeForest Buckner,1994-03-17,30
43297,6-6,308,1994-08-17,Michigan State,T,Jack Conklin,1994-08-17,30
43298,6-5,240,1992-09-08,Georgia,DE,Leonard Floyd,1992-09-08,32
43299,6-1,203,1995-08-09,Ohio State,CB,Eli Apple,1995-08-09,29
43301,6-2,305,1994-04-02,Louisville,DT,Sheldon Rankins,1994-04-02,30
43302,6-5,313,1994-08-02,Mississippi,T,Laremy Tunsil,1994-08-02,30
43305,6-7,318,1993-08-23,Ohio State,T,Taylor Decker,1993-08-23,31
43306,6-1,216,1995-07-26,Florida,FS,Keanu Neal,1995-07-26,29
43307,6-4,309,1993-05-30,Alabama,C,Ryan Kelly,1993-05-30,31
43308,6-3,267,1994-06-17,Clemson,DE,Shaq Lawson,1994-06-17,30
43313,6-0,196,1992-10-27,Houston,CB,William Jackson,1992-10-27,32
43314,6-0,197,1995-05-01,Miami,CB,Artie Burns,1995-05-01,29
43316,6-3,314,1995-10-04,UCLA,DE,Kenny Clark,1995-10-04,29
43321,6-4,275,1993-11-06,Oklahoma State,DE,Emmanuel Ogbah,1993-11-06,31
43323,6-2,245,1995-06-14,Notre Dame,MLB,Jaylon Smith,1995-06-14,29
43324,6-5,250,1994-12-07,Arkansas,TE,Hunter Henry,1994-12-07,30
43325,6-1,244,1995-09-03,UCLA,ILB,Myles Jack,1995-09-03,29
43326,6-6,308,1994-07-03,Mississippi State,DT,Chris Jones,1994-07-03,30
43327,6-1,200,1993-07-04,Baylor,CB,Xavien Howard,1993-07-04,31
43329,5-10,201,1993-02-10,Oklahoma,WR,Sterling Shepard,1993-02-10,31
43332,6-4,314,1994-05-08,Penn State,DT,Austin Johnson,1994-05-08,30
43333,6-5,287,1994-05-11,Illinois,DE,Jihad Ward,1994-05-11,30
43334,6-3,247,1994-01-04,Alabama,RB,Derrick Henry,1994-01-04,30
43335,6-4,330,1995-03-21,Alabama,DT,A'Shawn Robinson,1995-03-21,29
43336,6-3,212,1993-03-03,Ohio State,WR,Michael Thomas,1993-03-03,31
43338,6-3,306,1992-12-16,Alabama,NT,Jarran Reed,1992-12-16,32
43339,6-4,300,1993-04-29,Notre Dame,C,Nick Martin,1993-04-29,31
43341,6-1,227,1994-11-04,Louisiana State,ILB,Deion Jones,1994-11-04,30
43344,6-2,203,1994-11-15,Pittsburgh,WR,Tyler Boyd,1994-11-15,30
43345,6-3,309,1992-07-11,Kansas State,G,Cody Whitehair,1992-07-11,32
43350,5-11,205,1994-12-12,Ohio State,SS,Vonn Bell,1994-12-12,30
43351,6-1,212,1993-08-04,Samford,CB,James Bradberry,1993-08-04,31
43352,6-4,287,1992-09-23,Georgia Tech,DE,Adam Gotsis,1992-09-23,32
43353,5-11,212,1993-08-17,Middle Tennessee,FS,Kevin Byard,1993-08-17,31
43354,6-7,275,1993-04-12,Penn State,OLB,Carl Nassib,1993-04-12,31
